id,real age,predicted age,|error|
2652059,49,47,2
2652058,62,51,11
2652057,76,50,26
2652056,49,45,4
2652055,45,61,16
2652054,49,50,1
2652053,66,51,15
2652052,67,54,13
2652050,66,49,17
2652048,67,50,17
2652047,44,61,17
2652046,59,48,11
2652045,64,49,15
2652044,59,51,8
2652041,30,59,29
2652040,56,61,5
2652039,73,56,17
2652038,70,53,17
2652036,70,52,18
2652035,50,52,2
2652032,50,51,1
2652028,30,51,21
2652027,66,60,6
2652026,62,50,12
2652025,50,48,2
2652024,30,51,21
2652023,30,44,14
2652022,30,52,22
2652019,62,50,12
2652018,68,47,21
2652017,41,61,20
2652016,48,62,14
2652013,30,47,17
2652010,30,48,18
2652007,48,53,5
2652004,30,62,32
2652003,37,49,12
2652000,47,48,1
2651995,75,53,22
2651992,30,44,14
2651990,67,46,21
2651989,30,50,20
2651988,30,47,17
2651985,65,48,17
2651984,62,53,9
2651983,67,54,13
2651982,28,31,3
2651981,16,59,43
2651979,53,44,9
2651976,51,47,4
2651975,53,53,0
2651974,40,62,22
2651973,47,61,14
2651972,35,47,12
2651971,37,56,19
2651970,67,51,16
2651969,47,37,10
2651967,53,57,4
2651966,43,43,0
2651965,53,54,1
2651964,30,52,22
2651962,30,64,34
2651961,48,63,15
2651960,72,53,19
2651960,72,53,19
2651959,54,61,7
2651954,50,47,3
2651953,50,26,24
2651952,54,50,4
2651951,54,48,6
2651950,54,52,2
2651948,56,53,3
2651947,54,54,0
2651946,54,47,7
2651945,62,53,9
2651944,30,45,15
2651937,72,50,22
2651936,30,52,22
2651935,68,51,17
2651934,30,62,32
2651933,58,48,10
2651930,56,51,5
2651929,70,49,21
2651926,30,51,21
2651925,32,50,18
2651924,30,46,16
2651923,45,47,2
2651922,30,49,19
2651921,56,53,3
2651920,37,56,19
2651919,56,50,6
2651918,37,52,15
2651917,30,53,23
2651916,48,61,13
2651915,37,48,11
2651914,56,56,0
2651913,37,46,9
2651912,37,48,11
2651911,30,49,19
2651910,37,43,6
2651909,44,49,5
2651906,37,45,8
2651905,37,60,23
2651903,37,50,13
2651902,63,49,14
2651901,37,48,11
2651900,35,50,15
2651899,37,49,12
2651897,30,52,22
2651896,30,49,19
2651895,30,50,20
2651894,69,62,7
2651892,30,51,21
2651889,53,50,3
2651888,30,52,22
2651887,58,49,9
2651886,30,34,4
2651885,66,56,10
2651884,30,57,27
2651882,58,53,5
2651881,48,62,14
2651880,66,50,16
2651879,48,60,12
2651878,48,63,15
2651875,45,49,4
2651873,19,41,22
2651871,53,45,8
2651870,54,47,7
2651869,54,45,9
2651867,70,52,18
2651865,68,45,23
2651863,47,48,1
2651862,53,53,0
2651860,75,60,15
2651859,54,50,4
2651858,53,46,7
2651857,53,45,8
2651856,51,44,7
2651855,36,47,11
2651854,60,57,3
2651853,53,52,1
2651851,51,52,1
2651850,48,62,14
2651849,53,53,0
2651848,48,61,13
2651846,40,57,17
2651845,48,58,10
2651844,48,54,6
2651843,59,59,0
2651842,48,63,15
2651841,62,53,9
2651839,40,49,9
2651837,30,50,20
2651831,45,46,1
2651830,50,47,3
2651829,68,48,20
2651828,62,49,13
2651826,68,46,22
2651825,57,61,4
2651821,68,53,15
2651820,48,60,12
2651819,48,63,15
2651818,36,47,11
2651817,38,50,12
2651816,36,52,16
2651815,40,58,18
2651814,36,51,15
2651813,47,46,1
2651812,36,50,14
2651811,40,60,20
2651809,40,55,15
2651808,16,55,39
2651807,62,52,10
2651806,38,48,10
2651804,66,47,19
2651803,30,50,20
2651802,54,56,2
2651801,54,58,4
2651800,38,48,10
2651799,47,53,6
2651798,54,58,4
2651794,40,47,7
2651791,40,44,4
2651790,66,64,2
2651788,66,62,4
2651787,51,58,7
2651786,48,48,0
2651785,30,45,15
2651784,30,44,14
2651782,73,49,24
2651781,73,60,13
2651780,49,46,3
2651776,30,38,8
2651775,30,43,13
2651773,54,55,1
2651772,30,50,20
2651771,54,47,7
2651770,41,51,10
2651769,54,54,0
2651767,51,46,5
2651766,30,46,16
2651764,41,51,10
2651763,30,49,19
2651762,47,63,16
2651761,30,47,17
2651760,62,50,12
2651759,30,50,20
2651757,62,60,2
2651756,45,47,2
2651755,45,49,4
2651754,45,48,3
2651753,30,59,29
2651749,40,47,7
2651748,36,48,12
2651746,43,59,16
2651745,37,51,14
2651744,36,51,15
2651743,67,49,18
2651742,36,50,14
2651741,67,48,19
2651740,47,46,1
2651736,30,41,11
2651735,70,49,21
2651732,44,63,19
2651731,68,61,7
2651729,43,34,9
2651727,62,50,12
2651725,57,51,6
2651724,56,45,11
2651718,35,49,14

mae:12
mse:2
