id,real age,predicted age,|error|
2651962,30,62,32
2651961,48,62,14
2651960,72,58,14
2651960,72,58,14
2651959,54,43,11
2651954,50,59,9
2651953,50,44,6
2651952,54,62,8
2651951,54,53,1
2651950,54,62,8
2651948,56,63,7
2651947,54,62,8
2651946,54,58,4
2651945,62,58,4
2651944,30,51,21
2651937,72,62,10
2651936,30,53,23
2651935,68,58,10
2651934,30,61,31
2651933,58,61,3
2651930,56,62,6
2651929,70,65,5
2651926,30,54,24
2651925,32,63,31
2651924,30,57,27
2651923,45,63,18
2651922,30,60,30
2651921,56,53,3
2651920,37,65,28
2651919,56,62,6
2651918,37,54,17
2651917,30,44,14
2651916,48,63,15
2651915,37,59,22
2651914,56,63,7
2651913,37,49,12
2651912,37,57,20
2651911,30,61,31
2651910,37,57,20
2651909,44,55,11
2651906,37,56,19
2651905,37,63,26
2651903,37,58,21
2651902,63,56,7
2651901,37,64,27
2651900,35,61,26
2651899,37,61,24
2651897,30,53,23
2651896,30,61,31
2651895,30,59,29
2651894,69,62,7
2651892,30,44,14
2651889,53,55,2
2651888,30,55,25
2651887,58,55,3
2651886,30,53,23
2651885,66,63,3
2651884,30,59,29
2651882,58,61,3
2651881,48,61,13
2651880,66,55,11
2651879,48,62,14
2651878,48,64,16
2651875,45,63,18
2651873,19,56,37
2651871,53,57,4
2651870,54,58,4
2651869,54,62,8
2651867,70,60,10
2651865,68,63,5
2651863,47,61,14
2651862,53,57,4
2651860,75,65,10
2651859,54,61,7
2651858,53,56,3
2651857,53,59,6
2651856,51,54,3
2651855,36,63,27
2651854,60,59,1
2651853,53,58,5
2651851,51,64,13
2651850,48,62,14
2651849,53,66,13
2651848,48,60,12
2651846,40,61,21
2651845,48,62,14
2651844,48,61,13
2651843,59,62,3
2651842,48,61,13
2651841,62,66,4
2651839,40,65,25
2651837,30,44,14
2651831,45,53,8
2651830,50,55,5
2651829,68,57,11
2651828,62,63,1
2651826,68,59,9
2651825,57,61,4
2651821,68,48,20
2651820,48,62,14
2651819,48,61,13
2651818,36,59,23
2651817,38,55,17
2651816,36,59,23
2651815,40,61,21
2651814,36,52,16
2651813,47,60,13
2651812,36,54,18
2651811,40,59,19
2651809,40,64,24
2651808,16,60,44
2651807,62,62,0
2651806,38,58,20
2651804,66,62,4
2651803,30,52,22
2651802,54,61,7
2651801,54,59,5
2651800,38,53,15
2651799,47,64,17
2651798,54,61,7
2651794,40,62,22
2651791,40,62,22
2651790,66,57,9
2651788,66,59,7
2651787,51,52,1
2651786,48,64,16
2651785,30,59,29
2651784,30,60,30
2651782,73,63,10
2651781,73,62,11
2651780,49,60,11
2651776,30,56,26
2651775,30,53,23
2651773,54,63,9
2651772,30,62,32
2651771,54,59,5
2651770,41,56,15
2651769,54,61,7
2651767,51,49,2
2651766,30,49,19
2651764,41,56,15
2651763,30,58,28
2651762,47,61,14
2651761,30,52,22
2651760,62,58,4
2651759,30,52,22
2651757,62,62,0
2651756,45,54,9
2651755,45,61,16
2651754,45,56,11
2651753,30,64,34
2651749,40,63,23
2651748,36,58,22
2651746,43,59,16
2651745,37,55,18
2651744,36,55,19
2651743,67,57,10
2651742,36,60,24
2651741,67,50,17
2651740,47,56,9
2651736,30,61,31
2651735,70,44,26
2651732,44,58,14
2651731,68,64,4
2651729,43,52,9
2651727,62,63,1
2651725,57,62,5
2651724,56,61,5
2651718,35,61,26

mae:15
mse:3
